id,settlementId,imageUrl,uploadedAt,extractedText,merchantName,merchantId,transactionId,transactionDate,processedAt,processingStatus
cmk2f4meq00045xhs14a87jl2,cmk2f4meq00035xhsmertzgap,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767693562712_s.webp,2026-01-06 09:59:59.091,,,,,,2026-01-06 09:59:59.09,COMPLETED
cmk2f5fst00075xhs7bcbmi31,cmk2f5fst00065xhsd1ihzzgs,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767693609505_s.webp,2026-01-06 10:00:37.181,,,,,,2026-01-06 10:00:37.181,COMPLETED
cmk2f63ek000a5xhsknn8lj0k,cmk2f63ek00095xhseun8uulv,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767693646511_s.webp,2026-01-06 10:01:07.772,,,,,,2026-01-06 10:01:07.771,COMPLETED
cmk2o8by20004becq15u1wem6,cmk2o8by20003becqoqmfrupt,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767708853420_s.webp,2026-01-06 14:14:48.699,,,,,,2026-01-06 14:14:48.698,COMPLETED
cmk2ofwys0006becq1p5nmx6x,cmk2o77d90001becqo8uw0vw7,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767709240818_s.webp,2026-01-06 14:20:42.51,"BANQUE MISR
SMART
Giza 6 Of October Smart
GIZA
TID:85174123
DATE:06/01/2026
RECEIPT # :000001
AUTH CODE:622155
MID: 4897051001
TIME: 11:17:11
STAN: 000003
SATCH NO.000001
Sale
************8081
Mastercard
Contactless
APPLICATION HAME
AID:
TVR:
EXP: **/**
Debit Mastercard
A0000000041010
0000008001
0000
TSI:
NO CVM REQUIRED
AMOUNT
EGP 150.00
FEES
EGP 1.72
T.AMOUNT
EGP 151.72
APPROVED gias diss
CARDHOLDER COPY
Version: 4.095.34 20250826",85174123,85174123,622155,2026-01-06 00:00:00,2026-01-06 14:20:42.509,COMPLETED
cmk2olh3x000abecqq3z633ss,cmk2ojhw30008becqy747xob5,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767709448227_s.webp,2026-01-06 14:25:01.818,"7 > Es - & a a
3 0 A . ‏ْم‎ ٍ
a a 5c vs EL AE
Ed - =» i
NE ١ ّ ,
J 1 - )
~ oc ١ :
١ 7 ‏ل‎ | ’ r
[ [= . 1 n
BF bes I — =
‏ا ب د‎ 1 ١ ِ .
1 ‏ل ""م‎ - | I . ‏ل‎
‎: | ‏ا ا‎ 1 1
‏اا‎ 5 : UR ‏بض هنا ب لاسا‎
I | | 5 00 a ‏أ‎
‎+ ‏نر‎ i gr ‏ذا هك ناه يلدي‎ :
0 ‏امم‎ i | ‏ل‎ « -B .
4 IV) .osmarp -
. } 1 [oS ‏أ‎ Qctoker Sart ~, ١ I “
= SPER & 5 .
. . 1 8. a he MTU. 3 ‏حصي‎ -
: | IID: 85174133 ™ 0 ‏يي‎ :
‏ل ا‎ coee | Ra
: SOE TR : :
a 6 hale wl
1 ‏حي أو يوا اانا يا‎ ! Fa ]
‏سا‎ | Mastercard EXP: i.
5s = | Cant chess lle = ak . pe
0 BPLICATIONINAR Mastercard i I
: 0“ ‏ا‎
‎Sk: n 5 0000
‏ا ا‎ NO CVMIREQUIRED. \
~~ AMOUNT, EGP 350.00
‏م""‎ َّ Lt 8 ‏ل لي‎
J - . . T.AMOUNT . . 2 3
i ‏جلاب لاق اا‎ >
1 ‏ل‎
‏م‎ . ١
5 v1 [| me ‏ا لا ل‎ #4 1 ‘
he i ce TF Not oH a WI, =
- 2 CAT
Ry ‏ض‎
‎i i ‏ص‎ ١
‏تس‎ 1 ١
‏صخي‎
‏حيسي‎
‎_ NN ‏د‎ 1
‏اا‎ N i
-~ A t
1 ‏سا‎ . i ١
i ha
= . 1
‏اص‎ -
0 . >» :
",85174133,85174133,,,2026-01-06 14:25:01.817,COMPLETED
cmk5al92t0004vmaush3w8c3a,cmk5al92t0003vmau4xatgkd9,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767867353520_s.webp,2026-01-08 10:16:15.411,,,,,,2026-01-08 10:16:15.41,COMPLETED
cmk5am8u80007vmaupcrh6jdu,cmk5am8u80006vmau77xecn7q,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767867401422_s.webp,2026-01-08 10:17:01.76,,,,,,2026-01-08 10:17:01.759,COMPLETED
cmk5anqgb000avmauhd5pfhff,cmk5anqgb0009vmauet28066j,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767867434423_s.webp,2026-01-08 10:18:11.243,,,,,,2026-01-08 10:18:11.242,COMPLETED
cmk5f98cu0002eos1wsapnb93,cmk5f98cu0001eos1ayt7q2ch,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875191958_s.webp,2026-01-08 12:26:52.687,,,,,,2026-01-08 12:26:52.685,COMPLETED
cmk5f9yuh0005eos1qnawnkxj,cmk5f9yuh0004eos1erlelu7c,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875233255_s.webp,2026-01-08 12:27:27.018,,,,,,2026-01-08 12:27:27.016,COMPLETED
cmk5fbrgk0008eos11382q543,cmk5fbrgk0007eos13r80w8f6,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875317760_s.webp,2026-01-08 12:28:50.757,,,,,,2026-01-08 12:28:50.756,COMPLETED
cmk5fdb78000beos1frvqi2rj,cmk5fdb78000aeos1q9fpcman,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875377765_s.webp,2026-01-08 12:30:02.996,,,,,,2026-01-08 12:30:02.995,COMPLETED
cmk5fhqcs000eeos1yunmyv4n,cmk5fhqcs000deos15xjb2wkb,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875572554_s.webp,2026-01-08 12:33:29.261,,,,,,2026-01-08 12:33:29.26,COMPLETED
cmk5fj51l000heos1crxwvti2,cmk5fj51l000geos1w8cvun29,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875660859_s.webp,2026-01-08 12:34:34.954,,,,,,2026-01-08 12:34:34.953,COMPLETED
cmk5fjuo3000keos1v192odts,cmk5fjuo3000jeos1zeq76q03,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875696959_s.webp,2026-01-08 12:35:08.163,,,,,,2026-01-08 12:35:08.16,COMPLETED
cmk5fkyte000neos1bbymcrbp,cmk5fkyte000meos1zq5bfna0,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875752552_s.webp,2026-01-08 12:36:00.195,,,,,,2026-01-08 12:36:00.194,COMPLETED
cmk5fnrcf000qeos1prvh7ft4,cmk5fnrcf000peos1n5d7zbj1,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767875846355_s.webp,2026-01-08 12:38:10.479,,,,,,2026-01-08 12:38:10.478,COMPLETED
cmk5hmnee0002zt7n33z06la3,cmk5hmnee0001zt7nt6rww5b1,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879179508_s.webp,2026-01-08 13:33:17.942,,,,,,2026-01-08 13:33:17.941,COMPLETED
cmk5hn2wv0005zt7nhkbslskf,cmk5hn2wv0004zt7nxb9emfm8,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879207619_s.webp,2026-01-08 13:33:38.047,,,,,,2026-01-08 13:33:38.046,COMPLETED
cmk5hnjga0008zt7n00yyxk9w,cmk5hnjga0007zt7nwrqnmloe,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879227205_s.webp,2026-01-08 13:33:59.482,,,,,,2026-01-08 13:33:59.481,COMPLETED
cmk5ho5e7000bzt7nrmum5ad0,cmk5ho5e7000azt7n3pb0wsvm,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879253108_s.webp,2026-01-08 13:34:27.92,,,,,,2026-01-08 13:34:27.919,COMPLETED
cmk5honaw000ezt7n1p4vn5de,cmk5honav000dzt7npfnza0xh,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879277104_s.webp,2026-01-08 13:34:51.128,,,,,,2026-01-08 13:34:51.127,COMPLETED
cmk5hp6hj000hzt7nrjoenv7n,cmk5hp6hi000gzt7nnx5xw38x,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767879301307_s.webp,2026-01-08 13:35:15.991,,,,,,2026-01-08 13:35:15.99,COMPLETED
cmk6vn0hs0004gljwlilw6k9h,cmk6vn0hs0003gljwttfvh30u,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767963187336_s.webp,2026-01-09 12:53:15.712,,,,,,2026-01-09 12:53:15.711,COMPLETED
cmk6vnlar0007gljwmfob2vni,cmk6vnlar0006gljw9i2gyp8o,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767963207327_s.webp,2026-01-09 12:53:42.676,,,,,,2026-01-09 12:53:42.674,COMPLETED
cmk6vo0zm000agljwmdq3mwwp,cmk6vo0zm0009gljwe1cf343l,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767963234531_s.webp,2026-01-09 12:54:03.01,,,,,,2026-01-09 12:54:03.009,COMPLETED
cmk6vofgo000dgljwbgd5fr54,cmk6vofgo000cgljwd7xa8enm,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767963253639_s.webp,2026-01-09 12:54:21.768,,,,,,2026-01-09 12:54:21.767,COMPLETED
cmk6vovqx000ggljwavs1dt06,cmk6vovqx000fgljwf7uolfmi,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1767963272323_s.webp,2026-01-09 12:54:42.873,,,,,,2026-01-09 12:54:42.872,COMPLETED
cmk9fyoid0004r8vpar8w5wza,cmk9fyoid0003r8vp10j60pw6,https://nuaslolzzocyciuobyrd.supabase.co/storage/v1/object/public/receipts/receipts/1768118229059_s.webp,2026-01-11 07:57:44.725,,,,,,2026-01-11 07:57:44.724,COMPLETED
